entity_name remap_id
"Indianapolis" 0
"craft beer" 1
"beer" 2
"laid-back" 3
"vegetarians" 4
"dog owners" 5
"Fans of craft beer" 6
"People seeking casual atmosphere" 7
"Brewpub" 8
"bar" 9
"restaurant" 10
"Philadelphia" 11
"baseball" 12
"Sports stadium" 13
"Good facilities" 14
"reasonable ticket prices" 15
"lively atmosphere" 16
"Friendly crowds" 17
"Baseball fans" 18
"Sports fans" 19
"all ages" 20
"New Orleans" 21
"brunch" 22
"Fried chicken and waffles" 23
"Cane syrup" 24
"Gravy" 25
"oysters" 26
"liver pate" 27
"German pizza" 28
"cozy" 29
"drinks" 30
"fried chicken" 31
"waffles" 32
"Syrup" 33
"pizza" 34
"ambiance" 35
"Tucson" 36
"Sonoran hot dogs" 37
"hot dog" 38
"casual dining" 39
"affordable prices" 40
"salsa bar" 41
"vibrant" 42
"college campus" 43
"Fans of Sonoran hot dogs" 44
"Casual diners" 45
"cafe" 46
"coffee" 47
"bagels" 48
"spacious environment" 49
"outdoor seating" 50
"dog-friendly" 51
"studying" 52
"working" 53
"interactive comedy shows" 54
"comedy" 55
"intimate" 56
"audience participation" 57
"entertaining" 58
"reasonably priced" 59
"Fans of comedy" 60
"Fans of interactive shows" 61
"Theater lovers" 62
"Cooperative" 63
"community connections" 64
"locally grown produce" 65
"fair prices" 66
"Work contribution" 67
"Individuals valuing community" 68
"People seeking local produce" 69
"Price-conscious shoppers" 70
"Community contributors" 71
"friendly atmosphere" 72
"decently priced" 73
"duck gumbo" 74
"shrimp clemenceau" 75
"gumbo" 76
"Traditional dish" 77
"deli" 78
"variety of menu options" 79
"efficient service" 80
"individuals" 81
"People who prefer their usual order" 82
"curry" 83
"fried rice" 84
"Pad Thai" 85
"laid-back atmosphere" 86
"BYO wine" 87
"Casual evening" 88
"Reno" 89
"diverse product selection" 90
"well-designed store layout" 91
"helpful staff" 92
"grocery store" 93
"Supermarket" 94
"pastries" 95
"cannoli" 96
"cakes" 97
"eclairs" 98
"flavors" 99
"bananas foster" 100
"casual bakery setting" 101
"bakery" 102
"pastry" 103
"chicken wings" 104
"Watermelon" 105
"chicken" 106
"variety of flavors" 107
"combo meals" 108
"casual setting" 109
"community vibes" 110
"chicken wings lovers" 111
"affordable" 112
"St. Petersburg" 113
"spices" 114
"Spice shop" 115
"high-quality spices" 116
"fresh spices" 117
"knowledgeable staff" 118
"gift options" 119
"Gift shop" 120
"spice enthusiasts" 121
"Gift shoppers" 122
"Cherry Hill" 123
"cozy setting" 124
"good service" 125
"reasonable portion sizes" 126
"cocktails" 127
"beautiful presentation" 128
"creative cocktails" 129
"attentive" 130
"beef fat biscuits" 131
"puffed pork chips" 132
"Ouroboros" 133
"wine" 134
"live music" 135
"cozy ambiance" 136
"varied menu" 137
"Wine lovers" 138
"Music enthusiasts" 139
"Wine & Spirits store" 140
"Haddon Township" 141
"diner breakfast" 142
"diner" 143
"breakfast" 144
"generous portions" 145
"friendly service" 146
"solo diners" 147
"groups" 148
"satisfying meal" 149
"Tampa" 150
"margaritas" 151
"sangria" 152
"diverse menu" 153
"pasta" 154
"Ardmore" 155
"Bryn Mawr" 156
"Funky beer" 157
"Flavorful beer" 158
"brewery environment" 159
"Beer lovers" 160
"Brewery" 161
"Mass. Ave" 162
"sports" 163
"friendly" 164
"mixed" 165
"sports bar" 166
"barbecue" 167
"delicious options" 168
"varied options" 169
"large portions" 170
"casual" 171
"Barbecue lovers" 172
"king of prussia" 173
"flavorful" 174
"authentic" 175
"Indian" 176
"Pakistani" 177
"friendly staff" 178
"personalized recommendations" 179
"no-frills" 180
"burger" 181
"whiskey" 182
"comfortable setting" 183
"gluten-free options" 184
"fancier burger choices" 185
"cozy atmosphere" 186
"value for money" 187
"variety of breakfast options" 188
"Pancake House" 189
"Glenside" 190
"retro diner atmosphere" 191
"burgers" 192
"creative burgers" 193
"customizable burgers" 194
"burgers with fresh ingredients" 195
"family-friendly" 196
"BYOB" 197
"Korean ssam-jang sauce" 198
"those seeking new burger experiences" 199
"limited" 200
"quick" 201
"Lock and Key services" 202
"Locksmith" 203
"customer service" 204
"thoroughness" 205
"friendliness" 206
"quality" 207
"Locks" 208
"Keys" 209
"Security services" 210
"crepes" 211
"soups" 212
"fresh ingredients" 213
"variety of toppings" 214
"attentive service" 215
"vegan options" 216
"pizza enthusiasts" 217
"bar drinks" 218
"Fans of casual dining" 219
"Fans of bar drinks" 220
"gyros" 221
"shawarma" 222
"convenient location" 223
"Newtown" 224
"lunch" 225
"made-to-order meals" 226
"charming" 227
"small-town appeal" 228
"Fans of fresh ingredients" 229
"Fans of cozy atmospheres" 230
"ambience" 231
"extensive beer selection" 232
"unique twists" 233
"meeting owner" 234
"Fans of ambience" 235
"Fans of service" 236
"Fans of conversation" 237
