serves	32921
has feature	28900
located in	11560
has atmosphere	10127
appeals to	9945
offers	8430
is a	7083
suitable for	3083
price range	1932
category	1380
caters to	1108
has service	550
presents	505
provides	340
has staff	334
uses	300
specializes in	257
has	199
has attribute	194
has issue	185
has setting	185
has activity	170
has variety of	162
supports	149
features	138
has characteristic	110
cater to	97
has menu feature	89
suits	78
prioritizes	77
has policy	75
may not be suitable for	66
has service quality	59
hosts	55
has amenities	51
includes	47
has ingredient	37
has vibe	37
has reputation	30
presents genre	29
has purpose	27
seeks	25
has ambiance	25
has payment method	23
has highlight	22
has experience	20
has potential issue	20
location	18
name	17
has feedback	17
interests include	16
served in	12
receives	12
has main ingredient	12
has quality	12
has significance	11
has dietary options	10
has menu with	9
has shopping options	9
owned by	9
has event	9
recommendation	9
focuses on	7
has owner	7
has strategy for	7
compares to	7
has drawback	7
lacks feature	7
connected to	7
has overall experience	7
has menu	7
recommended visit	6
has opportunity to see	6
has music genre	6
adheres to	5
does not specify	5
has theme	5
compared to	4
has hours	4
ensures	4
can overlook	4
has scene	3
does not own	3
has aspect	3
avoids	3
has cuisine influence	3
made from	3
willing to	3
has been renovated	2
located away from	2
historical age	2
has supervision by	2
accepts payment	2
has food options	2
surroundings include	2
discovers	2
competes with	2
sees	2
value proposition	2
offeres	1
balanced by	1
spice levels range from	1
reasons to revisit	1
prefers payment method	1
off ers	1
caterst to	1
educates about	1
likes	1
is open to	1
services	1
cooking method	1
creates	1
listens to	1
has portion size	1
has potential for	1
