user,item
0,4589
0,0
0,7497
0,9064
0,315
0,246
0,8088
0,1601
1,7685
1,4489
1,3947
1,10369
1,969
1,2974
1,12795
1,10472
1,12780
1,1434
1,10705
1,3160
1,3413
1,11454
1,13077
1,1994
1,6323
1,9267
1,1
1,12853
1,1555
1,3455
1,368
1,10912
1,8816
1,51
1,11528
1,13190
1,163
1,13839
1,8487
1,12472
2,13000
2,6487
2,11385
2,7782
2,4357
2,5090
2,13132
2,12378
2,4355
2,2
2,2399
2,7388
2,1725
2,4614
2,4986
2,9893
2,113
2,378
2,11866
2,1619
2,10228
2,11332
2,9969
2,9132
2,13335
3,5505
3,10972
3,3
3,12921
3,5781
3,5852
3,5839
3,1030
3,12754
3,3054
3,1912
3,6535
3,8487
3,1791
3,3270
3,12783
3,11332
3,12968
3,11738
3,12867
4,13822
4,3028
4,3651
4,383
4,4417
4,9267
4,5773
4,6187
4,13454
4,93
4,4376
4,8695
4,10795
4,9879
4,2880
4,4441
4,3846
4,4438
4,4820
4,163
4,7777
4,1860
4,12454
4,2894
4,4490
4,3393
4,3758
4,6249
4,4699
4,13426
4,5852
4,691
4,2956
4,10003
4,2409
4,183
4,7095
4,13799
4,2968
4,2339
4,3575
4,967
4,7596
4,9021
4,1192
4,7269
4,11501
4,9899
4,1953
4,154
4,8976
4,5990
4,8590
4,2900
4,1867
4,7481
4,2278
4,12921
4,12930
4,733
4,11009
4,12208
4,12764
4,8538
4,5747
4,1555
4,2152
4,785
4,2666
4,2932
4,113
4,4355
4,13433
4,11874
4,11567
4,2002
4,7993
4,7822
4,10008
4,1494
4,2983
4,8934
4,3062
4,8492
4,5196
4,646
4,1353
4,11692
4,5643
4,10799
4,12869
4,13616
4,10297
4,9525
4,5558
4,7430
4,109
4,7461
4,1438
4,11693
4,419
4,4752
4,11336
4,418
4,11556
4,8828
4,6036
4,8726
4,13923
4,4681
4,2741
4,3139
4,4495
4,669
4,788
4,8524
4,9103
4,3226
4,68
4,123
4,12527
4,11334
4,2494
4,8137
4,376
4,13983
4,9009
4,1886
4,6540
4,11385
4,5772
4,5996
4,8774
4,6401
4,2886
4,1899
4,8080
4,3060
4,9898
4,3275
4,6817
