remap_id,entity_name
14094,good facilities
14097,friendly crowds
14100,Fans of all ages
14104,fried chicken and waffles
14105,cane syrup
14108,liver pate
14109,German pizza
14121,Fans of Sonoran hot dogs
14131,environment for studying or working
14134,Good Karma Cafe
14135,interactive comedy shows
14137,being part of the performance
14141,entertaining shows
14142,Fans of interactive comedy shows
14146,preservative-free foods
14148,Individuals who value community connections
14149,Individuals who are willing to contribute through work hours
14153,decently priced food
14155,duck gumbo
14156,shrimp clemenceau
14165,People who prefer their usual order
14166,People who like to try new dishes
14169,duck green curry
14172,BYO wine option
14173,casual evening out
14176,well-designed store layout
14184,eclair
14186,banana foster
14191,affordable combo meals
14192,community vibes
14193,chicken wings lovers
14198,"wide selection of high-quality, fresh spices"
14200,unique gift options
14201,Spice shop
14212,beautifully presented food
14217,beef fat biscuits
14218,puffed pork chips
14220,Ouroboros
14221,unique wine selections
14224,Wine & Spirits
14243,generous food offerings
14244,brewery environment
14248,friendly and vibrant atmosphere
14249,a mix of clientele
14263,comfortable bar setting
14266,fancier burger choices
14272,retro diner atmosphere
14281,Korean ssam-jang sauce
14282,those seeking new and exciting burger experiences
14285,locks
14286,keys
14287,cost-effective solutions
14288,timely assistance
14289,Users who value quality
14290,Users who value thoroughness
14291,Users who value friendly customer service
14292,Users looking for cost-effective solutions
14293,Users seeking timely assistance
14299,exceptional coffee
14307,nice selection of bar drinks
14311,Diners seeking quality
14318,plentiful
14323,small-town appeal
14326,made-to-order meals
14330,genuine conversation
14333,"modern, clean, and welcoming"
14338,flawless nail services
14339,last-minute appointments
14340,efficient blowouts
14344,informative guides
14345,hands-on experience
14346,learning about history of Yuengling beers
14347,learning about brewing process
14349,ethnic ambiance
14357,spicy Bianca pizza
14358,homemade honey
14363,variety of specialty items
14364,grocery section
14368,hard ice cream
14382,DJ events
14383,Hotel & Casino
14395,customized dining experiences
14398,South Philly Italian food
14400,traditional Italian dishes
14407,Users who enjoy watching sunsets
14411,beach bar experience
14417,socially responsible business
14421,rustic charm
14422,"Users who enjoy a cozy, homey ambiance, good food, attentive service, variety of meat dishes, live music, and a laid-back atmosphere with rustic charm"
14425,plant-based burgers
14431,fountain drinks
14438,Memorable culinary experience
14448,generous meat portions
14451,Fans of noodle dishes
14457,Tapas bar
14465,"flavorful, unique dishes"
14480,New American restaurant
14481,attention to detail in decor
14482,proactive staff
14487,People who appreciate attention to detail in decor
14488,People who value proactive staff in addressing food allergies
14491,AYCE sushi
14492,doughssants
14504,beautiful and romantic setting
14507,trendy waterfront areas
14515,newly popular and understaffed location
14527,Place
14528,creme brulee
14529,mac and cheese skillet
14530,short rib grilled cheese
14531,Asian nachos
14532,Southern cuisine
14534,Southern food
14541,Smoked Salmon Frittata
14542,Tamal Corn Cakes
14543,Enchiladas de Pato
14544,Chimichurri Skirt Steak
14547,no-reservation policy
14548,seating issues
14551,unique unfiltered beers
14552,hoppy double IPAs
14553,complex brews
14554,piroget
14562,vibrant and welcoming setting
14565,convenient location on South Street
14572,made-at-the-table guacamole
14586,casual upscale
14589,Enjoying live music
14591,pediatric care
14595,engaging amenities
14598,Wine enthusiasts
14599,industry professionals
14604,hip hop vibe
14611,"local, prompt delivery service"
14617,corporate events
14625,mix-ins
14626,health-conscious consumers
14627,Fans of unique flavors and mix-ins
14631,queso fundido
14633,Spanish music
14634,Fans of festive atmosphere
14635,Fans of Spanish music
14639,unlimited drinks
14642,Those seeking friendly service
14647,high-quality sashimi
14648,Fish Wings
14649,Salmon Skin hand rolls
14650,friendly and interactive sushi chefs
14655,Airport hotel
14661,traditional bakery treats
14663,Bakery
14665,skateboarding culture
14666,vegetarian/vegan food
14670,pancake
14671,variety of pancake flavors
14672,fast-paced dining experience
14673,Pancake restaurant
14676,casinos
14679,diverse amenities
14680,Vegas-style experience
14683,full-service restaurant
14684,wine department
14686,in-store bank
14687,pharmacy
14694,family-style cuisine
14701,European-style cafe
