relation_index,relation_name,scalar
0,[PAD],-4.9473262672526964e-40
1,serves,1.6501690715889046e-38
2,offers,-9.816247082829491e-39
3,has_atmosphere,-7.606612401955832e-39
4,has_feature,2.146979823936768e-39
5,caters_to,1.9949781769145264e-39
6,located_in,-7.097430986764909e-39
7,is_a,-3.5004856028373228e-40
8,appeals_to,-4.0290537020224866e-38
9,suitable_for,-4.793870072424486e-39
10,price_range,1.503814657377892e-39
11,name,-4.3341180592641565e-40
12,presents,1.8368612633939713e-39
13,features,2.0216364788998417e-39
14,has_policy,7.632242150868332e-40
15,has_payment_method,-3.954155980662482e-40
16,specializes_in,7.302670765043779e-40
17,served_in,5.398222074118493e-41
18,has_staff,1.869690883816173e-39
19,provides,-2.3711399340809516e-39
20,category,-5.707334502363904e-40
21,has_service_quality,4.886257680177421e-40
22,offeres,2.440081015928804e-40
23,seeks,-1.9862004433339957e-40
24,presents_genre,-7.1898382126963444e-40
25,has_menu_with,4.6137331548355305e-40
26,recommended_visit,3.259448253988811e-40
27,has_reputation,-3.7402757960525855e-40
28,uses,5.5897375352377656e-40
29,has_feedback,-2.390895439831003e-41
30,has_been_renovated,1.1358925351816967e-40
31,has_issue,9.073982088873564e-40
32,has_activity,3.483557917388279e-40
33,focuses_on,9.224887920496703e-41
34,has_owner,1.0887388418571666e-40
35,location,1.359960159627235e-40
36,has_significance,2.40343706108671e-40
37,receives,1.5193158209902532e-40
38,has_strategy_for,-5.552140697439931e-40
39,has_ingredient,6.483681877569139e-40
40,has_scene,-2.4487550534229746e-40
41,has_main_ingredient,1.2054529909507806e-40
42,has_attribute,9.213719571736034e-40
43,has_shopping_options,-7.598512896832034e-40
44,has_setting,-1.7046431480910675e-39
45,has_service,1.1242337319585142e-39
46,supports,9.040547107514774e-40
47,has_variety_of,1.415064820438344e-39
48,located_away_from,9.438445806459805e-41
49,suits,-1.504854420838421e-41
50,has_characteristic,-1.4283295117016428e-40
51,has_menu_feature,-8.430505834055608e-40
52,may_not_be_suitable_for,6.093168021531099e-40
53,prioritizes,-5.79584051337066e-40
54,has_ambiance,-5.762980064382243e-41
55,hosts,9.113232458859302e-40
56,balanced_by,-4.939549060775694e-40
57,has_purpose,4.805444797739809e-40
58,does_not_own,-2.1130740062939647e-40
59,has_experience,-4.102020994618037e-41
60,interests_include,-4.271662186709199e-40
61,has_amenities,-3.852617893937506e-40
62,has_aspect,-2.149563818304983e-40
63,compares_to,1.7186225015711719e-40
64,historical_age,2.9874141831094343e-40
65,has,4.3398213440139585e-40
66,has_supervision_by,-3.0606460408550492e-40
67,has_vibe,-1.31432126994264e-39
68,owned_by,3.3572308608293967e-41
69,spice_levels_range_from,-1.0819985962437643e-40
70,reasons_to_revisit,4.522802897485493e-40
71,has_drawback,-1.838223325501295e-41
72,accepts_payment,-7.422818095374989e-41
73,prefers_payment_method,-4.568064837883185e-40
74,has_event,-2.468092972230657e-40
75,has_food_options,-4.2592466823152815e-40
76,compared_to,3.078652726121623e-42
77,lacks_feature,-3.519136885397486e-40
78,avoids,-4.542799426571408e-40
79,has_hours,-2.9058445995010867e-40
80,has_highlight,-1.1088334618355845e-40
81,has_potential_issue,6.35628983417737e-42
