relation_name remap_id
"serves" 0
"offers" 1
"has atmosphere" 2
"has feature" 3
"caters to" 4
"located in" 5
"is a" 6
"appeals to" 7
"suitable for" 8
"price range" 9
"name" 10
"presents" 11
"features" 12
"has policy" 13
"has payment method" 14
"specializes in" 15
"served in" 16
"has staff" 17
"provides" 18
"category" 19
"has service quality" 20
"offeres" 21
"seeks" 22
"presents genre" 23
"has menu with" 24
"recommended visit" 25
"has reputation" 26
"uses" 27
"has feedback" 28
"has been renovated" 29
"has issue" 30
"has activity" 31
"focuses on" 32
"has owner" 33
"location" 34
"has significance" 35
"receives" 36
"has strategy for" 37
"has ingredient" 38
"has scene" 39
"has main ingredient" 40
"has attribute" 41
"has shopping options" 42
"has setting" 43
"has service" 44
"supports" 45
"has variety of" 46
"located away from" 47
"suits" 48
"has characteristic" 49
"has menu feature" 50
"may not be suitable for" 51
"prioritizes" 52
"has ambiance" 53
"hosts" 54
"balanced by" 55
"has purpose" 56
"does not own" 57
"has experience" 58
"interests include" 59
"has amenities" 60
"has aspect" 61
"compares to" 62
"historical age" 63
"has" 64
"has supervision by" 65
"has vibe" 66
"owned by" 67
"spice levels range from" 68
"reasons to revisit" 69
"has drawback" 70
"accepts payment" 71
"has event" 72
"has food options" 73
"compared to" 74
"lacks feature" 75
"avoids" 76
"has hours" 77
"has highlight" 78
"has potential issue" 79
"off ers" 80
"surroundings include" 81
"caterst to" 82
"educates about" 83
"cater to" 84
"has opportunity to see" 85
"adheres to" 86
"discovers" 87
"does not specify" 88
"competes with" 89
"connected to" 90
"recommendation" 91
"has music genre" 92
"has overall experience" 93
"has cuisine influence" 94
"sees" 95
"includes" 96
"likes" 97
"is open to" 98
"ensures" 99
"has dietary options" 100
"made from" 101
"services" 102
"cooking method" 103
"can overlook" 104
"creates" 105
"willing to" 106
"has quality" 107
"has theme" 108
"listens to" 109
"value proposition" 110
"has portion size" 111
"has menu" 112
"has potential for" 113
