direction,src_id,src_label,dst_id,dst_label,weight,relations
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),174623,user[38124] (IYeKKqqCA9m_Twgu6WOspg),0.23890603,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),159323,user[22824] (uRMslpetVek6hMAgSrTYCA),0.09140486,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),181146,user[44647] (WjPLEr26Y0nW_ZtCEymnDw),0.08424634,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),176411,user[39912] (W0VE9M7Dikrpol8j1_QqyQ),0.04791454,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),181702,user[45203] (LPVSaUBvnSavuv_dgzrRSA),0.04655388,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),164203,user[27704] (4ZkQwaOoLT2eJWux9fE1Jw),0.03595077,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),156916,user[20417] (FNN2v38cAZucLMxMmN83JQ),0.03422979,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),161889,user[25390] (OJAXdqwiA8aWXTJw_2hu1w),0.03314717,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),173928,user[37429] (8He5Y1pyl1ymoDMGmbKNjw),0.01916084,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),159893,user[23394] (9PZKQuLC5lUs0rJBbWOvjg),0.01426273,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),137793,user[1294] (WMMI5Q4Rmm1Rqdu0jOvyhQ),0.01403947,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),137722,user[1223] (pKn_H1nkgrwJS6TuHODsvQ),0.01362245,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),175199,user[38700] (6CW6DrRM9WCdiFQJIvC4zA),0.01041237,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),169884,user[33385] (nDE9rO4ySQ8PbPR36k3I0g),0.01000201,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),167882,user[31383] (Ysqfg2Ah_i3mBCxWHCFBhA),0.00976016,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),176630,user[40131] (9VNoBMBTI2AkQeHBCMvghQ),0.00925427,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),175132,user[38633] (6GT6kAIyCT9MA7y1ZN_PUw),0.00912404,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),150603,user[14104] (ib_ZTEwlCyz7xUCNXfmv_g),0.00851170,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),148857,user[12358] (ySOWHay3yeaadfuXOuagMg),0.00777860,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),171594,user[35095] (XOk0Wx1X2qzK5GQq05Aaww),0.00732719,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),162391,user[25892] (7bhQQHkTdtOucIpdfLAnSg),0.00716099,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179241,user[42742] (uLk3HSYVPKbvjAjdgf62Cg),0.00680558,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),180642,user[44143] (obam2FNZJ7d3HhA2AGRGyA),0.00636869,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),174755,user[38256] (UguXzxEsXbCpzFgvWHHExg),0.00627789,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),45567,entity[45567] (categories::Restaurants),0.00591265,categories
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179539,user[43040] (i9qCsgl81_CMsnMuc67hqg),0.00577085,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179382,user[42883] (OMEl_8PMsst9UVF5l0k7Sg),0.00558814,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),165850,user[29351] (Gki6epEdVq5iVEAGey0RMg),0.00553602,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),142605,user[6106] (sxrkRI8Ncd8pysgkC_oLxA),0.00529811,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),137636,user[1137] (r9tjKaqLvLKF7PvDnUsFnA),0.00465631,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179866,user[43367] (nKEDm50eIkHFMQvuHRd2WA),0.00457544,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),162795,user[26296] (wlc3ueOUwo5e3NFqeVWeDw),0.00446844,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),150083,user[13584] (rgvuMmaMu8jqnlt90Ydn9w),0.00442360,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),157100,user[20601] (0tZ7Lk7VZlEjdbLzdYTrzw),0.00436580,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),176913,user[40414] (Wncmy7Vs1BsD8XrVnuhk3A),0.00431397,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),159870,user[23371] (4zYIcJNAaiYHZkRPcGb_tA),0.00424422,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),170531,user[34032] (XPhKXWJCGyTTMNXQ_swZpQ),0.00420460,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),152043,user[15544] (QG9ZJatKSWj5p5VrW3cfMA),0.00391842,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),170839,user[34340] (j9qxRwGC416Ol88ye4BSCw),0.00389652,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),149044,user[12545] (EMM4HqI1mV7SwqXen6knJw),0.00388209,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),154347,user[17848] (pazeYPyJ2ycDiNDcmamntQ),0.00387686,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),173693,user[37194] (RB1abtdoWjClQjQ2BVgPwA),0.00366215,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),160312,user[23813] (h0fffFM3GcXll6FsgUGC8g),0.00361085,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),152349,user[15850] (XTXVPAkymeR9dkBiuQjKig),0.00360200,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),150089,user[13590] (fSR_UX9kSeU4oOkrP4zacg),0.00348313,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),158492,user[21993] (lJaMhVl641JJhTZhR3s_EQ),0.00339199,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),142539,user[6040] (2o4Mta5K0hjShQwAC4U2vA),0.00319879,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),144883,user[8384] (S6XAGgqKh9BBA8NRmQ3BKg),0.00314490,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),176816,user[40317] (BlSbxxb1vyfFoLGjfHh5dg),0.00310386,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),141818,user[5319] (ZpfTh2L2MIDZwnNZN3TWcA),0.00291262,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),166765,user[30266] (Qj1hYw1p291aeBGsFLLhkw),0.00273730,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),163573,user[27074] (LY1iz1qMdTiS7RiGORoRUQ),0.00256770,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),167298,user[30799] (Z2V0QcIHdTrb3ty9SnlgEg),0.00252733,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179231,user[42732] (fQH_rE23qWixF0uvTl3Vcw),0.00245278,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),146078,user[9579] (9jA5_7o9V4m6i8ZRb4t6LA),0.00241517,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),140744,user[4245] (fdElcNLGXA4jUVTqwkgioQ),0.00240353,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),46168,entity[46168] (categories::Korean),0.00237914,categories
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),144960,user[8461] (20svwt6_PknWMO7Ph9p4mw),0.00232961,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),138469,user[1970] (gynMtvoyHZrSDsHMecwd8Q),0.00230696,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),146789,user[10290] (4d13xAX2jp2EbGF8I9eZZw),0.00219896,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),150002,user[13503] (RWIOyyHjbgt61FPxuFHe1Q),0.00211927,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),160655,user[24156] (gWxac7OR92Q538fphDE6mA),0.00211392,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),178657,user[42158] (keQE5jr6dgAiJGzrpYdnYw),0.00208194,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),174294,user[37795] (K6SaKA0kN2g5_Lz13YyCaA),0.00205749,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),148313,user[11814] (X0o9AQXtSoE9wc8kPSc8ww),0.00202825,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),170226,user[33727] (4ZdoOleUK9Tx6LiCQNXqng),0.00196765,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),179153,user[42654] (kszac3OHPpWNENAi91Gurw),0.00194956,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),180488,user[43989] (gebvA4YEQwDNCMEbyfUYqQ),0.00193916,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),174131,user[37632] (B6jROr34RPJSrvn6bAnxqw),0.00187093,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),169352,user[32853] (Cjul1bp0PtI4rhT7tPERYA),0.00182555,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),163595,user[27096] (UK2DsID5q3MCqYX23S6xXw),0.00177417,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),175655,user[39156] (bklPCroQvuXcatBrnaAU_w),0.00169086,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),162615,user[26116] (9FL3qSL0sfVjdUPY4armrg),0.00168710,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),169214,user[32715] (yBOAoIDR7b6r3v3pAqNnLA),0.00167705,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),149645,user[13146] (8SgjU2fID9VqKQooFt1DIQ),0.00156563,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),175927,user[39428] (AJByiqOSSkG66SlnnfstPQ),0.00154385,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),174342,user[37843] (YkXrZ1QLl19ohcPXpvMh5A),0.00153535,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),161391,user[24892] (gKX5BAYV81HOtBqBvhuQvg),0.00152131,item->user
out,7401,entity[7401] (ZCzey5aPhd7jYIoHsUfjmQ),165720,user[29221] (4IGL7UrjG1WlSPSayL6T4A),0.00150859,item->user
