item_id,num_entities,avg_score,max_score,min_score
460,7,1.4733629,5.2117486,-2.730172
541,9,-0.7415118,5.090339,-4.9920826
1906,12,1.2095271,5.2117486,-2.0897546
2419,6,2.9125955,5.2117486,1.8628008
2893,8,-1.6803089,-0.017235916,-3.140863
3045,8,0.7804112,5.2117486,-1.1801445
3705,10,-0.46581966,3.1851656,-2.2641463
4484,10,1.4448475,5.2117486,-1.8437781
4725,5,1.7650795,5.2117486,-3.140863
4796,9,0.64375234,5.2117486,-5.787366
5124,11,1.6007515,6.4957485,-1.9150378
6222,12,-0.0015541712,4.123468,-3.8698828
6791,9,1.9069663,6.4957485,-0.5498064
7047,7,1.1704835,6.4957485,-2.9100792
8771,10,-0.9128499,5.2117486,-4.9920826
9024,6,-0.23670316,5.090339,-3.496188
9930,10,1.7167771,5.090339,-1.2913642
9968,8,1.5195019,5.2117486,-1.1686634
10048,11,2.6796217,5.2117486,1.6872305
10108,7,-0.76061535,3.1592937,-4.704877
10579,6,2.1828635,4.9861054,-2.1527076
11275,9,-1.0122228,6.4957485,-4.9920826
11349,13,-0.14554885,5.2117486,-4.932324
12075,9,1.3762599,5.2117486,-2.0999575
12297,9,1.7553989,3.9703603,-1.7145671
13392,9,1.1584535,2.5900178,-0.9880454
13509,11,0.37212798,5.2117486,-3.2760327
13712,8,0.8433306,3.8871067,-3.8245788
13756,7,-1.1149925,5.2117486,-6.976744
