entity_id,score,num_connected_items,connected_items
14118,2.7141516,3,"1472,8532,8999"
35041,2.3275394,1,8532
14472,0.62998384,1,8532
17092,0.6023161,1,8532
15504,0.57327896,1,8532
14304,0.43492982,1,8532
21993,0.42645308,1,8532
15938,0.37504175,1,8532
14216,0.3267794,1,8532
14267,0.24892807,1,8532
14113,0.036517043,2,"8532,8999"
14873,0.022047155,1,8999
14229,-0.056397233,1,1472
25811,-0.17065243,1,8532
14085,-0.18059207,1,8532
17987,-0.4288747,1,8999
14458,-0.69624287,1,8999
17791,-0.82958347,1,8532
15550,-0.8998731,2,"8532,8999"
14519,-1.0195457,1,8999
14842,-1.328923,1,8999
