item_id,score,num_connected_entities
4767,1.2797285,8
12683,1.2575765,3
8322,1.0660882,2
11982,1.0553476,6
3628,1.0247577,4
4199,1.0183897,4
12384,1.0107905,6
8147,1.0059671,6
10930,1.0034688,3
9432,0.8705089,5
2153,0.8572566,4
12463,0.84567803,4
7315,0.84051526,5
10081,0.8129566,6
6238,0.8129314,8
12398,0.8108413,4
14014,0.7870197,4
11940,0.78580534,13
3235,0.7575532,7
1248,0.7516073,9
12408,0.74966776,8
9304,0.74208176,2
7037,0.7243538,4
2971,0.7227153,4
9075,0.71335715,5
9552,0.6907739,5
8544,0.6822771,3
1764,0.67794865,5
8686,0.6668196,7
9279,0.65058666,4
6211,0.6399816,5
2107,0.6263414,7
6647,0.61401874,3
2467,0.61282307,4
9902,0.6048719,4
2591,0.6043307,8
11329,0.5952208,10
1178,0.5938758,5
7358,0.5923056,3
6574,0.58955413,9
1231,0.58537203,6
13981,0.5811921,10
9773,0.5784337,8
5810,0.57761043,8
6948,0.5770351,9
8282,0.57584697,8
12390,0.57547253,4
2614,0.5747685,4
3150,0.5693987,10
2970,0.56518424,8
4940,0.5641372,9
2161,0.56412804,3
4560,0.56290823,9
812,0.55366325,5
4446,0.5505215,7
3507,0.5439152,3
1330,0.5362927,5
5833,0.53376055,2
3290,0.5326244,6
13213,0.5321554,7
8244,0.52999413,3
11069,0.52348024,2
2437,0.5190861,7
13960,0.51813865,4
9405,0.5174125,7
13207,0.51446384,4
7046,0.5143117,3
11259,0.5136885,13
2163,0.51323557,3
13300,0.50566447,6
13306,0.50237495,7
9416,0.5016603,3
2583,0.4989916,4
11613,0.49074978,6
7890,0.4884946,6
10018,0.48778296,8
6332,0.4876272,6
2116,0.4774628,8
12129,0.4758038,5
7678,0.47387832,8
2943,0.45923364,8
8461,0.45861536,6
10491,0.4574376,5
1795,0.44989428,8
664,0.44788325,10
9236,0.44339004,5
7208,0.43646607,5
1854,0.4352709,9
9488,0.43491098,6
11921,0.434407,11
3412,0.4320498,11
7068,0.42940262,7
3047,0.4287113,10
2741,0.42787808,7
11220,0.4275772,7
8012,0.427124,6
6564,0.42474255,4
4346,0.42445734,7
10851,0.42416605,2
4660,0.42310104,5
4645,0.42180035,5
13653,0.4197834,4
7329,0.41676274,8
5677,0.41490534,6
4739,0.41452518,6
10246,0.41441473,8
5562,0.41209555,3
1595,0.4108648,12
2346,0.41063452,7
11073,0.408998,7
6188,0.40892965,11
119,0.4082687,4
13158,0.4061135,7
8694,0.40376845,5
10124,0.40346438,5
5059,0.40075794,7
5475,0.40058982,9
1822,0.40029156,5
12695,0.39911714,6
12673,0.39901298,6
6390,0.39754057,5
113,0.39642555,9
7061,0.3956584,7
270,0.39435014,8
12743,0.3928849,7
13351,0.39284763,11
9808,0.3910035,6
8335,0.3903028,10
8312,0.39011198,4
8872,0.38963833,7
8663,0.3889529,10
10957,0.38734075,7
10471,0.38715842,4
11061,0.38715175,5
8249,0.38648635,3
6001,0.38548958,6
8866,0.38328198,6
4316,0.3827252,5
5158,0.3823697,5
6501,0.38186288,4
6381,0.3805849,8
3866,0.38032645,3
9336,0.37873623,6
11133,0.3732684,5
4374,0.37302554,8
3324,0.3728093,4
374,0.3726251,7
2380,0.37206772,5
14028,0.37110636,4
6008,0.37103936,4
3629,0.36792937,8
2228,0.36761415,6
2987,0.3650908,5
8790,0.36178282,7
11227,0.36150083,7
9938,0.36062312,8
8812,0.35887364,5
2873,0.3588484,7
802,0.35859418,15
4281,0.35700083,7
4437,0.35489962,8
13093,0.35453507,6
3214,0.3539391,9
7317,0.3528549,7
1960,0.35283756,7
6732,0.35202795,6
2912,0.351665,9
12036,0.35058355,8
2489,0.3498286,11
2686,0.34845063,4
6787,0.34637707,6
1420,0.34505948,7
11743,0.34289536,10
14031,0.34131232,9
10399,0.33922952,11
243,0.33896425,3
6427,0.33864933,4
4094,0.33706257,6
6753,0.33448318,5
6358,0.33426034,8
12590,0.33385605,4
8368,0.33380342,9
7707,0.3328921,5
9969,0.3324181,7
8670,0.33169362,6
8996,0.33093515,11
7212,0.33062854,4
6022,0.32991558,7
13986,0.32882679,5
3055,0.32704988,5
8660,0.32529768,5
9977,0.32478642,12
9270,0.32447326,5
12143,0.3227709,8
10474,0.32257688,9
2504,0.31865942,7
1543,0.31784037,5
8084,0.31668833,6
9648,0.3141566,4
14072,0.31354973,5
1661,0.31206554,7
13773,0.31135637,6
5296,0.3104298,6
10469,0.3093055,7
8485,0.3090484,6
8380,0.3085538,5
9477,0.30816704,5
12178,0.30779845,4
1626,0.30741858,7
6192,0.3073644,6
10944,0.3073256,4
10481,0.30731115,7
12685,0.30713096,5
13814,0.30341163,5
5106,0.30335227,8
7356,0.30095953,8
1372,0.3008663,8
6352,0.29984713,9
4673,0.29920027,4
1363,0.29912025,4
7079,0.29835224,6
11555,0.29685053,6
10197,0.29683062,6
5487,0.29666054,5
3895,0.2929105,6
3103,0.29279557,9
12822,0.29161066,5
13677,0.2909217,3
5879,0.28787342,4
7179,0.28628471,10
10035,0.284749,10
8194,0.283826,8
11628,0.28365365,7
6600,0.2825368,7
11988,0.2822574,4
10255,0.28165463,4
995,0.28153175,7
11216,0.28116283,3
3388,0.2805741,9
1207,0.280343,14
13387,0.28010324,4
4978,0.27960214,3
1890,0.27889922,6
7637,0.2777866,10
10400,0.2777313,5
3501,0.27672207,3
7350,0.2765483,5
9253,0.27556306,4
8496,0.27502152,6
7935,0.27456397,7
13829,0.27343717,9
13622,0.27313688,8
9441,0.2722058,9
4153,0.27211016,4
7596,0.27208754,4
95,0.27169427,5
4332,0.2708592,7
671,0.2708079,4
1809,0.2703535,12
7333,0.26951995,9
13259,0.26839653,11
863,0.26813322,7
11923,0.2681087,7
1586,0.2680092,5
7680,0.26645574,4
2492,0.26581547,4
2372,0.26568827,5
10083,0.26542917,3
6876,0.2639697,2
846,0.26342094,6
2156,0.26341894,8
5029,0.26321366,8
10777,0.26037967,4
6346,0.26002777,4
4058,0.25966525,4
2229,0.259156,9
9242,0.2588285,6
5214,0.25825676,8
9916,0.257002,6
1390,0.25669292,7
12658,0.25638396,14
5747,0.2562909,5
5528,0.2562794,5
9289,0.25592104,7
8317,0.25554088,8
11390,0.25547048,8
8710,0.25481007,9
7205,0.2541685,7
3102,0.25372776,7
5002,0.25279883,8
11794,0.2524482,4
8755,0.25189614,6
14051,0.25152752,5
170,0.2507628,6
8207,0.24988076,6
11895,0.24874488,3
9696,0.24726194,6
2557,0.2466166,8
3550,0.24464472,7
838,0.24399926,4
6967,0.24306421,11
13993,0.24172632,9
7258,0.24136415,8
13675,0.24135692,6
7471,0.24075861,7
11405,0.2406275,5
4617,0.23993844,14
10326,0.23895116,9
11712,0.23831578,6
7781,0.23800287,4
3478,0.23723848,3
4975,0.23713289,7
334,0.23709095,7
10259,0.2361998,10
182,0.23546447,10
8861,0.23359492,7
13276,0.23246132,6
1633,0.23242748,6
4032,0.23220044,4
5628,0.23176497,7
8901,0.23173644,6
6681,0.23026693,8
10355,0.23024979,10
10437,0.23020718,8
12387,0.22911157,4
7347,0.22898178,12
8191,0.22823264,2
9277,0.22804566,3
1067,0.22764777,9
8723,0.2275342,8
8404,0.2267011,8
3913,0.22660081,7
9601,0.22532403,6
3186,0.22507764,10
6583,0.22467077,7
7035,0.2240498,4
176,0.22403957,6
9569,0.22392729,6
9801,0.22389184,5
9830,0.2230055,15
13965,0.22294182,8
375,0.22127515,3
2031,0.2208044,5
6522,0.22065963,8
963,0.22057368,8
8553,0.2200406,11
7126,0.21911423,12
4853,0.21855555,6
7024,0.21726413,5
11191,0.21584375,7
926,0.21530443,2
1030,0.21510774,7
848,0.21486147,8
6043,0.2147417,6
5349,0.21466586,8
8528,0.2142689,9
2877,0.21415672,5
6797,0.21364568,7
9860,0.21324453,7
4536,0.21296643,8
11675,0.21285893,6
8185,0.21204063,5
8792,0.21166606,6
413,0.21081714,14
4230,0.21077923,10
8857,0.21074313,11
9171,0.2104352,4
8269,0.21025975,11
13630,0.2094734,6
277,0.20881687,4
12825,0.20823772,10
1876,0.20800723,9
1312,0.2074888,5
6645,0.20653929,8
3668,0.20584093,4
1133,0.20570925,6
5203,0.20561281,3
9220,0.2048837,5
727,0.20465074,9
341,0.20460701,4
11746,0.20351243,4
4265,0.20349565,13
965,0.20340419,6
4188,0.20261939,3
11901,0.20238756,8
2468,0.2019615,7
9530,0.2016152,5
12369,0.20125397,6
6367,0.20050566,10
9578,0.20049828,6
3285,0.20025623,4
9185,0.19925533,8
9802,0.19910763,10
7675,0.19880173,6
7091,0.19835,5
4754,0.19770591,10
7866,0.19729704,3
8980,0.19628231,6
3489,0.19560884,4
3821,0.1954787,9
8732,0.19536743,5
10299,0.1952865,6
5144,0.19497879,7
13833,0.19478516,5
10612,0.19465187,7
7193,0.19454785,4
5495,0.19406807,1
4637,0.19323567,7
10136,0.19269292,9
13744,0.19234513,7
12203,0.1923263,10
8933,0.19213,5
1946,0.19164288,5
5522,0.19025218,7
6444,0.18998007,7
7692,0.18954636,5
12385,0.18909273,9
2979,0.18885753,11
4976,0.18835425,10
6874,0.18808357,3
5464,0.18776025,7
9063,0.18747714,7
2972,0.1874525,6
5233,0.18739064,9
3039,0.18706182,6
11290,0.1867756,5
6409,0.18584955,6
10417,0.18534271,4
12488,0.18517572,5
7152,0.18515354,7
397,0.18495947,5
1156,0.18411314,9
2964,0.18340379,7
5801,0.18317963,7
10606,0.18311466,6
8805,0.1828131,9
8259,0.18257684,9
3306,0.18235478,8
10222,0.1812684,11
1298,0.18091442,6
13425,0.18066646,5
13652,0.18056269,7
4715,0.18046041,9
13157,0.18040305,7
3609,0.18029784,6
11586,0.17951596,11
13763,0.17818053,4
8708,0.17812547,9
12475,0.17714067,6
10292,0.17621168,5
4559,0.17614374,12
7492,0.17592284,5
11437,0.17557961,7
8235,0.17544936,4
599,0.17533462,7
12712,0.175299,11
7848,0.1740011,10
6601,0.17382605,9
3316,0.1735679,9
3855,0.1735369,5
12424,0.17349602,6
7020,0.1733082,8
10677,0.1726025,7
8738,0.17186573,8
8937,0.17170325,6
8650,0.1713847,6
11627,0.17106426,5
1504,0.17000264,8
1360,0.16966128,9
12405,0.168833,9
9771,0.16873527,11
6825,0.1686826,6
5120,0.16862036,5
5328,0.16860932,4
2362,0.16849004,14
4216,0.16804436,9
7124,0.16705084,4
3731,0.166787,6
1490,0.16677006,6
9666,0.16586012,5
8905,0.16546652,7
3694,0.16519113,12
12539,0.16508323,10
10514,0.16495582,4
13946,0.16448416,5
10456,0.16347657,6
9396,0.16278215,5
3710,0.16252407,9
2134,0.1625155,11
3434,0.16251193,6
5132,0.16193372,3
42,0.16184655,2
1324,0.16184412,8
3767,0.16113019,7
4759,0.16080627,10
3389,0.16076754,4
9167,0.16074343,8
8499,0.16068059,7
7805,0.16065444,10
1021,0.16062112,13
8318,0.15995315,15
13659,0.15950581,9
2984,0.15935634,10
7791,0.15926552,7
10905,0.15884924,4
3661,0.15822643,5
2084,0.15793747,7
8323,0.15771422,12
2662,0.15712564,4
354,0.1565098,8
12366,0.15630539,7
11333,0.15539116,2
8434,0.15521692,8
12241,0.15480539,6
4247,0.1546865,8
3759,0.15353997,4
2765,0.15322465,5
8134,0.15288496,10
8809,0.15208966,6
4383,0.151132,9
7121,0.1509462,6
9917,0.15067303,4
2119,0.15022919,3
1424,0.15011856,3
12495,0.15007691,8
12130,0.1498386,5
8985,0.14973202,7
9536,0.14957741,6
10027,0.14957424,11
4126,0.14953543,5
1535,0.14913604,8
4299,0.14894776,7
1745,0.14853129,11
5921,0.14845926,8
11926,0.14778528,8
11326,0.14761844,3
4603,0.14722861,4
5663,0.14722358,6
1932,0.14722127,6
4240,0.14713506,12
13028,0.14672461,4
11111,0.14667141,4
1417,0.14666063,8
4829,0.1463538,7
1812,0.14631468,7
8342,0.14617246,7
2043,0.14562286,9
7617,0.14552695,4
4648,0.14523251,7
2182,0.1450088,4
1669,0.14482954,5
12565,0.14464329,4
2687,0.14440112,10
7870,0.14423801,7
10070,0.14357857,6
9577,0.14344707,5
10361,0.14323863,5
11246,0.14310738,4
2710,0.14254636,8
2891,0.14202522,7
12757,0.14195192,9
6157,0.14189929,7
9762,0.1403844,5
4285,0.14025496,11
11484,0.14022385,7
5321,0.14002283,3
11728,0.13968556,9
9711,0.13924634,11
7522,0.13811977,4
6348,0.1378455,7
10053,0.13780995,7
6133,0.13711387,5
7980,0.13709196,5
2367,0.13683021,8
3871,0.13655837,4
8568,0.13647036,8
5847,0.13628921,8
1604,0.13610624,7
13146,0.13594176,8
7057,0.13582818,15
10152,0.13533503,9
11204,0.13531725,8
6417,0.13511617,9
12821,0.13481063,5
3423,0.1347516,6
6214,0.13471425,7
766,0.13458471,4
12285,0.13455331,5
923,0.13447267,6
7125,0.13287331,6
11199,0.1328548,7
7361,0.13280173,9
4184,0.13238983,9
6888,0.13211647,6
5142,0.13180828,6
1332,0.13084917,6
11622,0.13080938,4
8150,0.13080673,7
9867,0.13076736,9
2863,0.13067363,9
10396,0.12982988,8
282,0.12966484,7
3876,0.12959342,7
8116,0.12854591,11
6259,0.12845469,7
2893,0.12830563,3
1400,0.12827615,9
1689,0.1281912,12
9179,0.12736244,11
9322,0.1272618,5
6170,0.12718365,6
5020,0.12645876,4
6963,0.12645377,8
4464,0.12600182,6
8907,0.12597923,7
3854,0.12573345,12
2716,0.12563016,7
3546,0.12544638,10
8022,0.12531586,7
11136,0.12530513,4
9800,0.12492436,8
3208,0.1249127,6
10158,0.124790445,10
2399,0.12459864,9
3528,0.12395312,6
8988,0.12381717,7
7040,0.12363468,6
9796,0.123151265,6
5724,0.122978196,7
10043,0.12245374,5
2308,0.12227408,5
3949,0.12219662,12
5112,0.12159368,4
1893,0.121518016,4
973,0.12139822,14
3118,0.12069182,5
456,0.1206413,7
8333,0.12048179,6
544,0.12027424,7
10886,0.12000815,5
6917,0.11990788,5
13978,0.11964842,10
12006,0.119383976,8
9209,0.1190403,5
1760,0.118672796,1
6865,0.118658006,8
2675,0.11859274,9
6101,0.11849054,10
10428,0.11762328,5
4520,0.117349654,9
549,0.116404556,6
9911,0.11615702,6
8159,0.11571746,6
12014,0.11495103,6
2928,0.11494889,6
3383,0.11467891,8
3510,0.114469476,7
13803,0.11438518,9
7569,0.11390716,7
8838,0.11370802,8
13583,0.11358525,9
11877,0.113484554,6
3690,0.11291102,5
1430,0.112883985,8
9924,0.11284282,7
13033,0.11263379,7
4676,0.11217924,6
9724,0.11199221,3
3266,0.11182425,7
2711,0.11166494,8
13431,0.11155902,7
9013,0.111313954,6
13298,0.11129608,9
