model,user_id,interaction_bin,precision@20,recall@20,ndcg@20
base,0,0-9,0.0,0.0,0.0
base,1,20-29,0.0,0.0,0.0
base,2,20-29,0.0,0.0,0.0
base,3,10-19,0.0,0.0,0.0
base,4,60+,0.05,0.014492753623188406,0.04105877938688906
base,5,60+,0.05,0.043478260869565216,0.039621067055815605
base,6,60+,0.1,0.09523809523809523,0.08067984644270466
base,7,50-59,0.0,0.0,0.0
base,8,0-9,0.05,0.3333333333333333,0.2960819109658652
base,9,10-19,0.0,0.0,0.0
base,10,20-29,0.0,0.0,0.0
base,11,10-19,0.0,0.0,0.0
base,12,20-29,0.0,0.0,0.0
base,13,10-19,0.0,0.0,0.0
base,14,10-19,0.0,0.0,0.0
base,15,60+,0.1,0.08333333333333333,0.07244761042136541
base,16,10-19,0.0,0.0,0.0
base,17,0-9,0.05,0.5,0.19342640361727081
base,18,10-19,0.0,0.0,0.0
base,19,20-29,0.0,0.0,0.0
base,20,10-19,0.0,0.0,0.0
base,21,0-9,0.0,0.0,0.0
base,22,10-19,0.0,0.0,0.0
base,23,60+,0.2,0.032,0.2624452779520722
base,24,30-39,0.15,0.3,0.2618080742270754
base,25,40-49,0.0,0.0,0.0
base,26,50-59,0.15,0.1875,0.13323346211805182
base,27,60+,0.1,0.10526315789473684,0.10309101906289035
base,28,30-39,0.05,0.1111111111111111,0.061734604266276284
base,29,0-9,0.0,0.0,0.0
base,30,0-9,0.0,0.0,0.0
base,31,0-9,0.0,0.0,0.0
base,32,60+,0.15,0.16666666666666666,0.18980687306268887
base,33,20-29,0.05,0.16666666666666666,0.19092086617893467
base,34,60+,0.1,0.037037037037037035,0.23165732683700077
base,35,10-19,0.05,0.25,0.19519002499605084
base,36,30-39,0.05,0.1111111111111111,0.06794340091829075
base,37,0-9,0.0,0.0,0.0
base,38,60+,0.2,0.09523809523809523,0.19669153720251728
base,39,30-39,0.1,0.2222222222222222,0.23202214456934253
base,40,0-9,0.0,0.0,0.0
