user_id,n_hits,n_test_items,hit_items,hit_ranks
910,8,129,2543;12631;4777;8362;1565;173;7272;1711,1;4;5;6;10;11;12;19
1024,8,58,516;10360;2075;2952;1296;2171;11343;2948,2;5;6;9;13;15;17;20
5549,8,45,3036;3106;10318;6049;6439;7257;3813;8469,1;5;8;11;12;17;18;20
6360,8,69,6088;13059;10410;65;9904;4609;2105;12934,1;2;4;9;10;16;17;18
646,7,29,1500;4541;8925;11636;11454;13000;1794,1;3;4;6;17;19;20
757,7,59,4354;298;12263;13660;4725;10146;7523,1;2;3;6;7;8;18
953,7,60,12726;1052;1691;6370;7543;12982;11490,1;2;3;5;9;10;19
173,6,26,1500;13039;5755;1843;9896;9302,1;2;3;4;10;14
789,6,10,12728;12768;6012;1458;10101;8525,1;10;12;17;18;20
828,6,28,2084;3167;2144;12956;7393;8723,1;2;6;7;10;20
1091,6,38,12763;7261;2068;6146;3088;7210,1;5;6;8;11;16
1301,6,66,8915;8705;9442;3494;10046;4438,1;8;9;13;14;19
1326,6,27,5965;1453;756;2785;2025;7403,2;4;7;8;15;17
3002,6,100,9126;7444;7407;11311;3295;3551,1;4;5;7;14;20
3803,6,15,3350;1528;9806;3856;6370;13138,11;12;13;16;18;19
4646,6,36,159;4489;3139;12764;7175;12768,2;3;5;6;13;19
10014,6,18,2897;1306;9710;11176;10039;11611,1;2;7;10;11;15
10088,6,29,4725;9024;10048;10579;5124;460,2;3;5;11;12;18
11262,6,149,6012;3685;5773;7723;10522;5077,1;2;7;10;11;20
188,5,15,5796;8531;799;8532;13320,1;3;4;10;20
337,5,32,13181;12790;10662;10175;8707,8;9;12;17;18
616,5,15,23;5971;7109;2885;5629,1;2;4;6;9
618,5,23,150;1842;11385;1458;2880,8;9;10;14;18
1003,5,37,5755;5998;7990;5269;291,4;6;15;17;20
1022,5,37,236;7329;7261;3159;1965,1;2;5;8;17
1046,5,22,11814;13285;6773;13;957,4;14;16;18;20
1233,5,11,2159;8716;3631;1726;10050,1;6;12;16;19
1508,5,66,11341;1905;8652;1780;4985,1;4;7;11;17
1551,5,30,2345;7578;8524;13107;10729,1;2;9;11;13
1716,5,42,7532;12174;11974;3503;2501,1;6;12;14;15
1999,5,54,7347;11443;11496;606;6211,1;7;9;16;20
3209,5,41,3926;11917;3501;3380;4206,6;10;12;18;19
3433,5,10,1651;2894;11385;12750;4598,15;16;17;18;19
4698,5,13,1436;9021;12867;4352;2045,1;3;7;9;13
5931,5,24,5841;4072;10174;12598;11448,4;10;14;15;19
9034,5,18,13678;114;7025;8726;9879,1;5;6;12;19
9497,5,27,4372;9999;415;2389;8649,2;3;6;19;20
12562,5,28,3036;8560;3407;9175;1626,2;6;11;13;16
23,4,125,3648;2446;8568;5847,1;7;11;18
38,4,42,13374;7679;11380;687,3;5;12;20
89,4,27,10360;9923;915;11898,1;5;12;14
102,4,50,3584;2298;11341;2892,2;4;5;15
278,4,29,12751;10790;477;6231,10;11;13;20
341,4,22,2895;9875;3001;12889,2;7;8;11
488,4,15,11341;87;12794;9879,5;6;11;12
551,4,84,5807;4489;1554;11598,8;16;19;20
938,4,21,9401;12101;2158;12802,2;3;8;10
945,4,17,1611;12004;11716;5864,1;6;12;14
1071,4,55,9896;3118;9506;7334,2;3;16;20
1206,4,10,4538;1491;12867;9021,3;6;10;20
1286,4,45,11329;6194;4372;2075,2;6;10;18
1304,4,23,3336;13590;2932;10366,3;5;7;10
1334,4,15,9949;2882;6321;169,2;8;13;15
1420,4,21,8751;10317;1531;10856,4;6;8;14
1443,4,22,2075;11329;11689;102,3;6;8;14
1486,4,9,4868;4921;1726;6034,1;7;13;19
1537,4,62,4646;8516;4844;1041,2;3;5;12
1967,4,60,85;7099;2568;4372,2;3;14;20
2338,4,55,3031;4471;9068;12154,3;8;13;17
2668,4,21,657;10184;13415;7107,2;3;8;18
2923,4,13,1438;9011;7461;10524,5;7;12;16
3165,4,15,12794;12728;10223;2942,6;11;15;20
