user_id,n_hits,n_test_items,hit_items,hit_ranks
910,6,129,2543;12631;4777;8362;1565;173,1;4;5;6;10;11
1024,5,58,2075;2952;1296;2171;2948,6;9;13;15;20
5549,5,45,3036;3106;10318;6049;6439,1;5;8;11;12
6360,5,69,6088;13059;10410;9904;2105,1;2;4;10;17
646,1,29,11636,6
757,3,59,4354;12263;10146,1;3;8
953,3,60,1691;12982;11490,3;10;19
173,2,26,1500;9302,1;14
1301,4,66,8915;8705;10046;4438,1;8;14;19
1326,2,27,5965;756,2;7
3002,5,100,9126;7444;11311;3295;3551,1;4;7;14;20
3803,1,15,13138,19
4646,1,36,159,2
10014,1,18,11611,15
10088,4,29,4725;10048;5124;460,2;5;12;18
11262,2,149,5773;10522,7;11
188,2,15,5796;8532,1;10
337,2,32,10175;8707,17;18
1003,1,37,291,20
1022,3,37,236;7329;3159,1;2;8
1046,1,22,13,18
1233,1,11,10050,19
1551,3,30,7578;8524;10729,2;9;13
1716,3,42,7532;11974;2501,1;12;15
1999,2,54,7347;6211,1;20
3209,2,41,11917;3501,10;12
4698,1,13,1436,1
5931,2,24,10174;11448,14;19
9034,3,18,13678;114;9879,1;5;19
9497,1,27,8649,20
12562,3,28,3036;8560;1626,2;6;16
38,2,42,13374;11380,3;12
89,2,27,10360;11898,1;14
102,1,50,2298,4
278,2,29,10790;6231,11;20
341,2,22,9875;3001,7;8
488,2,15,87;12794,6;11
551,1,84,11598,20
938,1,21,12802,10
945,1,17,1611,1
1071,1,55,9896,2
1206,1,10,1491,6
1286,3,45,11329;6194;4372,2;6;10
1304,2,23,3336;13590,3;5
1334,1,15,169,15
1486,2,9,1726;6034,13;19
1537,4,62,4646;8516;4844;1041,2;3;5;12
1967,2,60,7099;2568,3;14
2668,2,21,657;10184,2;3
2923,2,13,7461;10524,12;16
3165,2,15,12794;12728,6;11
3224,2,33,10175;4666,8;12
3238,1,62,1407,20
3440,2,16,95;282,5;8
3518,1,29,4362,16
3549,1,22,11321,7
3558,1,16,8857,7
3595,1,45,1715,10
3615,1,18,8475,2
3618,1,22,12018,9
3634,1,27,13136,19
4070,2,62,8484;3584,2;6
4122,3,27,12739;11484;3029,1;18;19
5197,1,36,2880,9
7215,1,40,5622,5
7339,1,50,7453,11
7674,2,7,7215;7497,11;14
7844,2,17,3033;3370,3;9
7997,1,70,1573,10
8154,1,17,5622,17
8355,1,19,4684,5
9615,2,23,12766;10125,3;4
12067,3,4,1436;9021;7175,1;2;19
32,2,18,2385;9745,5;19
174,1,17,2082,8
196,2,19,4589;11321,9;16
270,1,16,10324,9
286,3,17,1626;3036;12876,3;5;7
287,2,23,3355;3481,7;12
294,2,42,1434;2880,6;14
303,1,23,1973,1
347,1,40,5760,13
